selected_answer,is_correct,question_id,student_id,answer_id,section,Topic
1,false,1,541d70c6-5852-4a80-a04f-4dfc760ff07f,1,A,Inequalities
2,false,2,541d70c6-5852-4a80-a04f-4dfc760ff07f,2,A,Fraction Operations
1,true,3,541d70c6-5852-4a80-a04f-4dfc760ff07f,3,A,Angle Sum Property
2,false,4,541d70c6-5852-4a80-a04f-4dfc760ff07f,4,A,Perimeter
3,true,5,541d70c6-5852-4a80-a04f-4dfc760ff07f,5,A,"Speed, Distance and Time"
3,true,6,541d70c6-5852-4a80-a04f-4dfc760ff07f,6,A,Linear Equations
2,true,7,541d70c6-5852-4a80-a04f-4dfc760ff07f,7,A,Divisibility Rules
2,true,8,541d70c6-5852-4a80-a04f-4dfc760ff07f,8,A,Number Patterns
3,true,9,541d70c6-5852-4a80-a04f-4dfc760ff07f,9,A,Profit and Loss
2,true,10,541d70c6-5852-4a80-a04f-4dfc760ff07f,10,A,Volume of Solids
2,true,1,9653c43f-7781-439d-8474-2d9b784fad4e,1,A,Inequalities
3,true,2,9653c43f-7781-439d-8474-2d9b784fad4e,2,A,Fraction Operations
1,true,3,9653c43f-7781-439d-8474-2d9b784fad4e,3,A,Angle Sum Property
1,true,4,9653c43f-7781-439d-8474-2d9b784fad4e,4,A,Perimeter
1,false,5,9653c43f-7781-439d-8474-2d9b784fad4e,5,A,"Speed, Distance and Time"
3,true,6,9653c43f-7781-439d-8474-2d9b784fad4e,6,A,Linear Equations
1,false,7,9653c43f-7781-439d-8474-2d9b784fad4e,7,A,Divisibility Rules
2,true,8,9653c43f-7781-439d-8474-2d9b784fad4e,8,A,Number Patterns
1,false,9,9653c43f-7781-439d-8474-2d9b784fad4e,9,A,Profit and Loss
2,true,10,9653c43f-7781-439d-8474-2d9b784fad4e,10,A,Volume of Solids
1,true,11,9653c43f-7781-439d-8474-2d9b784fad4e,11,B,Anagrams
1,true,12,9653c43f-7781-439d-8474-2d9b784fad4e,12,B,Anagrams
2,true,13,9653c43f-7781-439d-8474-2d9b784fad4e,13,B,Compound Words
3,true,14,9653c43f-7781-439d-8474-2d9b784fad4e,14,B,Letter Patterns
1,true,15,9653c43f-7781-439d-8474-2d9b784fad4e,15,B,Word Completion
1,false,16,9653c43f-7781-439d-8474-2d9b784fad4e,16,B,Word Classification
3,false,17,9653c43f-7781-439d-8474-2d9b784fad4e,17,B,Letter Sequences
2,false,18,9653c43f-7781-439d-8474-2d9b784fad4e,18,B,Word Completion
4,true,19,9653c43f-7781-439d-8474-2d9b784fad4e,19,B,Word Analogies
1,true,20,9653c43f-7781-439d-8474-2d9b784fad4e,20,B,Anagrams
2,true,21,9653c43f-7781-439d-8474-2d9b784fad4e,21,C,Complete Analogy
2,false,22,9653c43f-7781-439d-8474-2d9b784fad4e,22,C,Missing Figures
2,true,23,9653c43f-7781-439d-8474-2d9b784fad4e,23,C,Alphabetic Codes
4,true,24,9653c43f-7781-439d-8474-2d9b784fad4e,24,C,Find Missing Figure
3,true,25,9653c43f-7781-439d-8474-2d9b784fad4e,25,C,Complete the Pattern
1,false,26,9653c43f-7781-439d-8474-2d9b784fad4e,26,C,Find the Missing Figure
4,false,27,9653c43f-7781-439d-8474-2d9b784fad4e,27,C,Find the Missing Figure
1,true,28,9653c43f-7781-439d-8474-2d9b784fad4e,28,C,Mirror Image
4,true,29,9653c43f-7781-439d-8474-2d9b784fad4e,29,C,Dice Question
4,true,30,9653c43f-7781-439d-8474-2d9b784fad4e,30,C,Find Missing Image
3,true,31,9653c43f-7781-439d-8474-2d9b784fad4e,31,D,Grammar (Verb Tenses)
2,true,32,9653c43f-7781-439d-8474-2d9b784fad4e,32,D,Grammar (Verb Tenses)
3,true,33,9653c43f-7781-439d-8474-2d9b784fad4e,33,D,Parts of Speech (Adjectives)
2,true,34,9653c43f-7781-439d-8474-2d9b784fad4e,34,D,Reading Comprehension (Literal Understanding)
2,true,35,9653c43f-7781-439d-8474-2d9b784fad4e,35,D,Reading Comprehension (Literal Understanding)
3,true,36,9653c43f-7781-439d-8474-2d9b784fad4e,36,D,Reading Comprehension (Literal Understanding)
2,true,37,9653c43f-7781-439d-8474-2d9b784fad4e,37,D,Reading Comprehension (Literal Understanding)
3,true,38,9653c43f-7781-439d-8474-2d9b784fad4e,38,D,Reading Comprehension (Inferential Understanding)
4,false,39,9653c43f-7781-439d-8474-2d9b784fad4e,39,D,Reading Comprehension (Inferential Understanding)
1,false,40,9653c43f-7781-439d-8474-2d9b784fad4e,40,D,Theme/Moral (Value System)
1,true,11,541d70c6-5852-4a80-a04f-4dfc760ff07f,11,B,Anagrams
1,true,12,541d70c6-5852-4a80-a04f-4dfc760ff07f,12,B,Anagrams
2,true,13,541d70c6-5852-4a80-a04f-4dfc760ff07f,13,B,Compound Words
3,true,14,541d70c6-5852-4a80-a04f-4dfc760ff07f,14,B,Letter Patterns
3,false,15,541d70c6-5852-4a80-a04f-4dfc760ff07f,15,B,Word Completion
1,false,16,541d70c6-5852-4a80-a04f-4dfc760ff07f,16,B,Word Classification
1,false,17,541d70c6-5852-4a80-a04f-4dfc760ff07f,17,B,Letter Sequences
1,false,18,541d70c6-5852-4a80-a04f-4dfc760ff07f,18,B,Word Completion
3,false,19,541d70c6-5852-4a80-a04f-4dfc760ff07f,19,B,Word Analogies
2,false,20,541d70c6-5852-4a80-a04f-4dfc760ff07f,20,B,Anagrams
2,true,21,541d70c6-5852-4a80-a04f-4dfc760ff07f,21,C,Complete Analogy
4,true,22,541d70c6-5852-4a80-a04f-4dfc760ff07f,22,C,Missing Figures
4,false,23,541d70c6-5852-4a80-a04f-4dfc760ff07f,23,C,Alphabetic Codes
2,false,24,541d70c6-5852-4a80-a04f-4dfc760ff07f,24,C,Find Missing Figure
3,true,25,541d70c6-5852-4a80-a04f-4dfc760ff07f,25,C,Complete the Pattern
3,true,26,541d70c6-5852-4a80-a04f-4dfc760ff07f,26,C,Find the Missing Figure
1,true,27,541d70c6-5852-4a80-a04f-4dfc760ff07f,27,C,Find the Missing Figure
1,true,28,541d70c6-5852-4a80-a04f-4dfc760ff07f,28,C,Mirror Image
4,true,29,541d70c6-5852-4a80-a04f-4dfc760ff07f,29,C,Dice Question
3,false,30,541d70c6-5852-4a80-a04f-4dfc760ff07f,30,C,Find Missing Image
1,false,31,541d70c6-5852-4a80-a04f-4dfc760ff07f,31,D,Grammar (Verb Tenses)
1,false,32,541d70c6-5852-4a80-a04f-4dfc760ff07f,32,D,Grammar (Verb Tenses)
1,false,33,541d70c6-5852-4a80-a04f-4dfc760ff07f,33,D,Parts of Speech (Adjectives)
1,false,34,541d70c6-5852-4a80-a04f-4dfc760ff07f,34,D,Reading Comprehension (Literal Understanding)
1,false,35,541d70c6-5852-4a80-a04f-4dfc760ff07f,35,D,Reading Comprehension (Literal Understanding)
3,true,36,541d70c6-5852-4a80-a04f-4dfc760ff07f,36,D,Reading Comprehension (Literal Understanding)
2,true,37,541d70c6-5852-4a80-a04f-4dfc760ff07f,37,D,Reading Comprehension (Literal Understanding)
3,true,38,541d70c6-5852-4a80-a04f-4dfc760ff07f,38,D,Reading Comprehension (Inferential Understanding)
3,false,39,541d70c6-5852-4a80-a04f-4dfc760ff07f,39,D,Reading Comprehension (Inferential Understanding)
4,false,40,541d70c6-5852-4a80-a04f-4dfc760ff07f,40,D,Theme/Moral (Value System)
2,true,1,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,1,A,Inequalities
3,true,2,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,2,A,Fraction Operations
1,true,3,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,3,A,Angle Sum Property
2,false,4,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,4,A,Perimeter
3,true,5,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,5,A,"Speed, Distance and Time"
2,false,6,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,6,A,Linear Equations
2,true,7,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,7,A,Divisibility Rules
2,true,8,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,8,A,Number Patterns
3,true,9,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,9,A,Profit and Loss
2,true,10,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,10,A,Volume of Solids
1,true,11,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,11,B,Anagrams
1,true,12,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,12,B,Anagrams
2,true,13,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,13,B,Compound Words
4,false,14,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,14,B,Letter Patterns
4,false,15,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,15,B,Word Completion
1,false,16,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,16,B,Word Classification
1,false,17,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,17,B,Letter Sequences
2,false,18,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,18,B,Word Completion
3,false,19,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,19,B,Word Analogies
1,true,20,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,20,B,Anagrams
1,false,21,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,21,C,Complete Analogy
4,true,22,7aa6ad35-6f90-4e5e-a6cf-2b4f38737696,22,C,Missing Figures
